subject,trial,blink,pupil,IP_START_TIME,sample_message,TIMESTAMP,trial,time
BZ4min,1,0,928,175027414,NA,175028234,1,820
BZ4min,1,0,929.5,175027414,NA,175028236,1,822
BZ4min,1,0,929,175027414,NA,175028238,1,824
BZ4min,1,0,926.5,175027414,NA,175028240,1,826
BZ4min,1,0,923,175027414,NA,175028242,1,828
BZ4min,1,0,923,175027414,NA,175028244,1,830
BZ4min,1,0,922.5,175027414,NA,175028246,1,832
BZ4min,1,0,922,175027414,NA,175028248,1,834
BZ4min,1,0,918.5,175027414,NA,175028250,1,836
BZ4min,1,0,914,175027414,NA,175028252,1,838
BZ4min,1,0,914,175027414,NA,175028254,1,840
BZ4min,1,0,914,175027414,NA,175028256,1,842
BZ4min,1,0,913.5,175027414,NA,175028258,1,844
BZ4min,1,0,912.5,175027414,NA,175028260,1,846
BZ4min,1,0,911,175027414,NA,175028262,1,848
BZ4min,1,0,911.5,175027414,NA,175028264,1,850
BZ4min,1,0,910.5,175027414,NA,175028266,1,852
BZ4min,1,0,906.5,175027414,NA,175028268,1,854
BZ4min,1,0,906.5,175027414,NA,175028270,1,856
BZ4min,1,0,905.5,175027414,NA,175028272,1,858
BZ4min,1,0,904.5,175027414,NA,175028274,1,860
BZ4min,1,0,902,175027414,NA,175028276,1,862
BZ4min,1,0,899.5,175027414,NA,175028278,1,864
BZ4min,1,0,898.5,175027414,NA,175028280,1,866
BZ4min,1,0,898,175027414,NA,175028282,1,868
BZ4min,1,0,897,175027414,NA,175028284,1,870
BZ4min,1,0,897,175027414,NA,175028286,1,872
BZ4min,1,0,897.5,175027414,NA,175028288,1,874
BZ4min,1,0,898.5,175027414,NA,175028290,1,876
BZ4min,1,0,897.5,175027414,NA,175028292,1,878
BZ4min,1,0,895.5,175027414,NA,175028294,1,880
BZ4min,1,0,895.5,175027414,NA,175028296,1,882
BZ4min,1,0,895,175027414,NA,175028298,1,884
BZ4min,1,0,892.5,175027414,NA,175028300,1,886
BZ4min,1,0,890,175027414,NA,175028302,1,888
BZ4min,1,0,888.5,175027414,NA,175028304,1,890
BZ4min,1,0,887,175027414,NA,175028306,1,892
BZ4min,1,0,886.5,175027414,NA,175028308,1,894
BZ4min,1,0,884.5,175027414,NA,175028310,1,896
BZ4min,1,0,881.5,175027414,NA,175028312,1,898
BZ4min,1,0,879.5,175027414,NA,175028314,1,900
BZ4min,1,0,878,175027414,NA,175028316,1,902
BZ4min,1,0,877.5,175027414,NA,175028318,1,904
BZ4min,1,0,874,175027414,NA,175028320,1,906
BZ4min,1,0,875,175027414,NA,175028322,1,908
BZ4min,1,0,878,175027414,NA,175028324,1,910
BZ4min,1,0,878,175027414,NA,175028326,1,912
BZ4min,1,0,877,175027414,NA,175028328,1,914
BZ4min,1,0,877,175027414,NA,175028330,1,916
BZ4min,1,0,872,175027414,NA,175028332,1,918
BZ4min,1,0,868.5,175027414,NA,175028334,1,920
BZ4min,1,0,867.5,175027414,NA,175028336,1,922
BZ4min,1,0,867,175027414,NA,175028338,1,924
BZ4min,1,0,868.5,175027414,NA,175028340,1,926
BZ4min,1,0,866.5,175027414,NA,175028342,1,928
BZ4min,1,0,865,175027414,NA,175028344,1,930
BZ4min,1,0,865,175027414,NA,175028346,1,932
BZ4min,1,0,862,175027414,NA,175028348,1,934
BZ4min,1,0,860,175027414,NA,175028350,1,936
BZ4min,1,0,860.5,175027414,NA,175028352,1,938
BZ4min,1,0,860,175027414,NA,175028354,1,940
BZ4min,1,0,858.5,175027414,NA,175028356,1,942
BZ4min,1,0,857,175027414,NA,175028358,1,944
BZ4min,1,0,856,175027414,NA,175028360,1,946
BZ4min,1,0,854,175027414,NA,175028362,1,948
BZ4min,1,0,855,175027414,NA,175028364,1,950
BZ4min,1,0,856.5,175027414,NA,175028366,1,952
BZ4min,1,0,856.5,175027414,NA,175028368,1,954
BZ4min,1,0,856.5,175027414,NA,175028370,1,956
BZ4min,1,0,854.5,175027414,NA,175028372,1,958
BZ4min,1,0,854,175027414,NA,175028374,1,960
BZ4min,1,0,852.5,175027414,NA,175028376,1,962
BZ4min,1,0,852.5,175027414,NA,175028378,1,964
BZ4min,1,0,853.5,175027414,NA,175028380,1,966
BZ4min,1,0,851.5,175027414,NA,175028382,1,968
